date,Product,Customer_name,Year,Month,Quarter,Purchase_amount
1/5/2018,110100570122--AMI,759,2018,May,2,1750
1/5/2018,110100570122--AMI,760,2018,May,2,700
1/5/2018,110100570122--AMI,762,2018,May,2,875
1/5/2018,110100570122--AMI,764,2018,May,2,5250
1/5/2018,110100570122--AMI,765,2018,May,2,875
1/5/2018,110100570122--AMI,767,2018,May,2,3500
1/5/2018,110100570122--AMI,770,2018,May,2,875
1/5/2018,110100570122--AMI,772,2018,May,2,1750
1/5/2018,110100570122--AMI,775,2018,May,2,6125
1/5/2018,110100570122--AMI,778,2018,May,2,1750
1/5/2018,110100570122--AMI,783,2018,May,2,1225
1/5/2018,110100570122--AMI,797,2018,May,2,350
1/5/2018,110100570122--AMI,812,2018,May,2,17500
1/5/2018,110100570122--AMI,832,2018,May,2,17500
1/5/2018,110100570122--AMI,838,2018,May,2,14000
1/5/2018,110100570122--AMI,845,2018,May,2,3500
1/5/2018,110100570122--AMI,865,2018,May,2,1750
1/5/2018,110100570122--AMI,871,2018,May,2,1750
1/5/2018,110100570122--AMI,876,2018,May,2,875
1/5/2018,110100570122--AMI,877,2018,May,2,3500
1/5/2018,110100570122--AMI,896,2018,May,2,7875
1/5/2018,110100570122--AMI,897,2018,May,2,7000
1/5/2018,110100570122--AMI,900,2018,May,2,8750
1/5/2018,110100570122--AMI,925,2018,May,2,175
1/5/2018,110100570122--AMI,980,2018,May,2,175
1/5/2018,110100570122--AMI,982,2018,May,2,525
1/5/2018,110100570122--AMI,984,2018,May,2,525
1/5/2018,110100570122--AMI,986,2018,May,2,1750
1/5/2018,110100570122--AMI,992,2018,May,2,875
1/5/2018,110100570122--AMI,993,2018,May,2,3500
1/5/2018,110100570122--AMI,998,2018,May,2,3504
1/5/2018,110100570122--AMI,1002,2018,May,2,-1050
1/5/2018,110100570122--AMI,1003,2018,May,2,1750
1/5/2018,110100570122--AMI,1005,2018,May,2,875
