x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,Y 10 min,Y 15 min,Y 20 min,Y 30 min,Y 45 min,Y 60 min
Class 2,Salt,Low,High,0.00,0.56,0.72,9.6,2.2,8.2,9.95,2.5,0.213,0.345,17.53,0.00,0.00,48.47,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,2.00,17.5,255.39,80,500,8,0.55,0.85,PVA,3,0.488,0.645,300,Round,7.40,50 rpm,SLS,0.25,64.01,86.03,96.61,100.58,103.5,104.54
Class 2,Salt,Low,High,0.00,0.56,0.72,9.6,2.2,8.2,9.95,2.5,0.213,0.345,17.53,0.00,0.00,48.47,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,2.00,17.5,255.39,80,500,8,0.55,0.85,PVA,3,0.488,0.645,300,Round,7.40,50 rpm,SLS,0.25,74.38,86.28,95.75,98.82,100.11,101.02
Class 2,Salt,Low,High,0.00,0.56,0.72,9.6,2.2,8.2,9.95,2.5,0.213,0.345,17.53,0.00,0.00,48.47,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,2.00,17.5,255.39,80,500,8,0.55,0.85,PVA,3,0.488,0.645,300,Round,7.40,50 rpm,SLS,0.25,78.93,92.95,101.06,101.67,101.82,102.36
Class 2,Salt,Low,High,0.00,0.56,0.72,9.6,2.2,8.2,9.95,2.5,0.213,0.345,17.53,0.00,0.00,48.47,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,2.00,17.5,255.39,80,500,8,0.55,0.85,PVA,3,0.488,0.645,300,Round,7.40,50 rpm,SLS,0.25,77.87,94.69,100.25,102.51,103.01,103.44
Class 2,Salt,Low,High,0.00,0.56,0.72,9.6,2.2,8.2,9.95,2.5,0.213,0.345,17.53,0.00,0.00,48.47,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,2.00,17.5,255.39,80,500,8,0.55,0.85,PVA,3,0.488,0.645,300,Round,7.40,50 rpm,SLS,0.25,74.07,90.87,97.07,101.68,102.76,102.76
Class 2,Salt,Low,High,0.00,0.56,0.72,9.6,2.2,8.2,9.95,2.5,0.213,0.345,17.53,0.00,0.00,48.47,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,2.00,17.5,255.39,80,500,8,0.55,0.85,PVA,3,0.488,0.645,300,Round,7.40,50 rpm,SLS,0.25,74.89,91.47,98.41,101.31,102.02,102.83
Class 2,Salt,Low,High,0.00,0.56,0.72,9.6,2.2,8.2,9.95,2.5,0.213,0.345,17.53,0.00,0.00,48.47,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,2.00,17.5,255.39,80,500,8,0.55,0.85,PVA,3,0.488,0.645,300,Round,7.40,50 rpm,SLS,0.25,76.15,89.75,91.61,98.72,99.57,100.13
Class 2,Salt,Low,High,0.00,0.56,0.72,9.6,2.2,8.2,9.95,2.5,0.213,0.345,17.53,0.00,0.00,48.47,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,2.00,17.5,255.39,80,500,8,0.55,0.85,PVA,3,0.488,0.645,300,Round,7.40,50 rpm,SLS,0.25,74.95,91.84,98.4,100.95,102,102.53
Class 2,Salt,Low,High,0.00,0.56,0.72,9.6,2.2,8.2,9.95,2.5,0.213,0.345,17.53,0.00,0.00,48.47,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,2.00,17.5,255.39,80,500,8,0.55,0.85,PVA,3,0.488,0.645,300,Round,7.40,50 rpm,SLS,0.25,72.09,90.2,95.72,98.84,99.37,100.75
Class 2,Salt,Low,High,0.00,0.56,0.72,9.6,2.2,8.2,9.95,2.5,0.213,0.345,17.53,0.00,0.00,48.47,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,2.00,17.5,255.39,80,500,8,0.55,0.85,PVA,3,0.488,0.645,300,Round,7.40,50 rpm,SLS,0.25,75.34,90.76,96.26,99.19,99.76,100.28
